geoid,medrent90,medrent00,medrent16,medhval90,medhval00,medhval16,percol90,percol00,percol16,pernwh90,pernwh00,pernwh16,perli90,perli00,perli16,per_rent_90,per_rent_00,per_rent16,pop00,pop16,asian_16_low,carcommuters_00,pre50_16,hhwch16,empd15,density16,aland,li16,afford90,belowmedcol90,abovemednwh,abovemedli,abovemedrent,vulnrisk90,vuln90,afford00,belowmedcol00,abovemednwh00,abovemedli00,abovemedrent00,vulnrisk00,vuln00,afford16,belowmedcol16,abovemednwh16,abovemedli16,abovemedrent16,vulnrisk16,vuln16,hotmarket90(127%-169%),hotmarket00(110%-207%),percol16,edudiff0016,abm_dif_0016,edudiff9000,abm_dif_9000,hinc90_NYU,hinc00_NYU,hinc16_NYU,hinc90,hinc00,hinc16,pct_ch_hinc90_00,pct_ch_hinc00_16,abm_inc_90_00,abm_inc_00_16,li16,gent90_00,gent00_16,ch_all_li_count90_00,ch_all_li_count00_16,liloss9016,per_limove16,per_limove09,exclusion,popgrowth0016,Incch0016,li_hh_16
9001010900,1001,1716,1940,338400,414400,835000,0.413752914,0.2887078,0.623250485,0.121829522,0.181421446,0.362633258,0.164911906,0.130431909,0.276173562,0.261406334,0.235985051,0.231740803,4812,5347,0.126613054,0.774883721,0.265690377,0.444810544,1002,0.002060445,2595071,0,0,0,0,1,0,FALSE,0,1,0,1,1,1,1,1,0,0,0,0,0,FALSE,0,1,1,0.129929091,-0.158778709,0,-0.125045114,0,53672,88402,132153,98219.76099,128182.9,132153,0.305062234,0.030972149,1,1,0,0,0,-63.26501465,-55.61157227,1,0.427946717,0.447929859,1,1,1.03097215,502.91205
9001011000,1001,2001,2844,500001,787000,1731900,0.645565653,0.376028202,0.810594857,0.061627134,0.091191911,0.196142644,0.094795387,0.047745104,0.180539295,0.164741641,0.142778693,0.14705883,5143,5496,0.072962154,0.65750736,0.410127991,0.481764706,1608,0.00122855,4473566,0,0,0,0,0,0,FALSE,0,1,1,1,1,1,1,1,0,0,0,0,0,FALSE,0,1,1,0.81059486,0.434566658,1,-0.269537451,0,88249,136052,248171,161495.6733,197275.4,248171,0.221552238,0.257992625,1,1,0,0,1,-80.82070923,51.92364502,0,0.323999971,0.368506491,1,1,1.257992634,306.91681
9001011100,1001,1525,1649,500001,994600,1924100,0.69365285,0.399587345,0.818779707,0.041437073,0.089807401,0.159019336,0.03897892,0.064511947,0.125468686,0.122829582,0.124755062,0.104659498,4621,4446,0.073324336,0.618461539,0.369993643,0.545519713,590,0.001017224,4370719,0,0,0,0,0,0,FALSE,0,1,1,1,1,1,1,1,0,0,0,0,0,FALSE,0,1,0,0.81877971,0.419192365,1,-0.294065505,0,106926,162269,250001,195674.5805,235290.05,250000,0.202455878,0.062518366,1,1,0,0,0,27.05799866,-86.50602722,0,0.387132525,0.440030813,1,0,1.062518368,175.02882
9001011200,1001,1641,2152,500001,1000001,2000001,0.614754098,0.365066225,0.735714257,0.100811124,0.079196217,0.151867732,0.044405246,0.050798405,0.237647384,0.252006421,0.24430956,0.1875,1692,1633,0.043478261,0.682432432,0.413612565,0.371710526,4007,0.000333778,4892472,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.73571426,0.370648035,1,-0.249687873,0,133752,179570,220625,240488.9044,260376.5,220625,0.08269652,-0.152669311,1,0,0,0,0,29.1973114,48.84526825,0,0.190469131,0.357662261,1,0,0.847330692,144.48961
9001011300,852,1238,1853,283400,368900,620700,0.242382901,0.25094162,0.42680496,0.084171697,0.272297297,0.53112036,0.211934604,0.21001693,0.42011416,0.477635783,0.51653944,0.581730783,2960,3615,0.068049793,0.72655218,0.570672714,0.4375,625,0.001761486,2052245,1,0,0,0,1,1,FALSE,0,1,0,1,1,0,FALSE,0,0,0,1,1,1,1,0,1,1,0.13421216,-0.11672946,0,0.008558718,1,38274,61394,85100,70041.41958,89021.3,85100,0.270980805,-0.04404901,1,1,0,0,0,-54.92938232,-5.452880859,1,0.68830204,0.602527261,0,1,0.955950992,524.30249
9001020100,430,516,1215,350000,137500,306500,0.107078853,0.161139029,0.468776256,0.562590449,0.627249357,0.648510218,0.222130202,0.166433997,0.603797615,0.887473461,0.907797682,0.894991219,3890,4296,0.071461825,0.507657402,0.145912384,0.105008787,19588,0.004563901,941300,1,1,1,1,1,1,1,1,1,0,1,1,0,FALSE,0,1,0,1,1,1,1,1,0,1,0.141233627,-0.019905402,0,0.054060175,1,19091,27238,54038,39635.21745,39505.47949,54038,-0.0032733,0.367860884,0,1,1,0,0,37.14196777,11.81481934,0,0.474179357,0.774430873,1,1,1.367860881,1374.2434
9001020200,1001,525,,454300,576500,853400,0.666536662,0.349439505,0.748120308,0.105277402,0.136473755,0.180086583,0.052375237,0.101012914,0.172279984,0.047346939,0.029133858,0.01911887,3715,3465,0.072438672,0.794853964,0.107924528,0.392352452,375,0.000184451,18785460,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,1,0,0,0,0,FALSE,0,0,0,0.74812031,0.398680805,1,-0.317097156,0,110791,115070,226875,202880.5605,166851.5,226875,-0.177587539,0.359742045,0,1,0,0,0,178.9057007,-109.691391,0,0.559851527,0.234541357,0,0,1.359742046,207.25282
9001020300,1001,1115,3501,469200,564800,796100,0.635641548,0.392318244,0.776484728,0.05303244,0.115189003,0.152007788,0.054964716,0.083844992,0.142637417,0.059559776,0.044635545,0.083025076,7275,7197,0.050715576,0.790365745,0.17921147,0.359638307,654,0.000365804,19674482,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,0,1,0.77648473,0.384166486,1,-0.243323304,0,110830,129289,207938,202818.8992,187469.05,207938,-0.075682536,0.109185755,0,1,0,0,1,205.4473572,-117.8873596,0,0.424017638,0.424914122,1,0,1.109185756,347.03683
9001020400,1001,1337,1750,387100,523400,711900,0.561044177,0.375788146,0.614996374,0.070992144,0.087514934,0.316738635,0.05278015,0.08588386,0.195399866,0.057995029,0.031604538,0.058775511,3348,3937,0.082804166,0.869535045,0.132090132,0.39755102,433,0.000420885,9354092,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,1,0.61499637,0.239208224,1,-0.18525603,0,91598,104430,177361,167624.3392,151423.5,177361,-0.096649684,0.171291113,0,1,0,0,1,141.8339386,-79.46908569,0,0.412481248,0.370176494,0,1,1.171291114,239.36484
9001020500,1001,1870,2785,408100,488700,748500,0.530523706,0.285144831,0.640222848,0.071271447,0.112982181,0.195897028,0.07762587,0.090183239,0.235256031,0.054452274,0.1,0.128862977,5107,4972,0.049074819,0.722014149,0.18131257,0.289795918,1886,0.000507493,9797175,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,1,0.64022285,0.355078019,1,-0.245378875,0,93678,112051,155208,171430.5417,162473.95,155208,-0.052246183,-0.044720709,0,1,0,0,1,106.4964752,50.16110229,0,0.635536969,0.483513951,0,0,0.955279293,403.46408
9001020600,1001,1843,1813,266600,320000,567300,0.316440778,0.227848101,0.48615548,0.09284952,0.165808666,0.324775338,0.113144159,0.090010766,0.208165601,0.097897898,0.097721823,0.095801301,4662,5453,0.132220796,0.863320463,0.184018008,0.396215257,2552,0.001525514,3574533,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,0,0.48615548,0.258307379,1,-0.088592677,0,61025,81277,129360,111675.75,117851.65,129360,0.055302069,0.097651154,1,1,0,0,0,54.15957642,-126.1401367,0,0.566254377,0.430645019,0,1,1.097651157,352.00803
9001020700,1001,717,2515,315900,375100,608600,0.395471698,0.217485999,0.548954547,0.052020069,0.125569736,0.209650576,0.114382976,0.099927772,0.236379236,0.104229607,0.138461539,0.181590483,4388,4207,0.039695745,0.867675781,0.138872044,0.287413901,1707,0.00072479,5804439,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,0,1,0.54895455,0.331468551,1,-0.177985699,0,66852,76291,136094,122724.511,111218.2007,136094,-0.093757227,0.223666623,0,1,0,0,1,173.4589539,-115.3552551,0,0.598094165,0.573451057,0,0,1.223666623,377.49765
9001020800,1001,1361,3103,298800,361600,604100,0.37486911,0.238146552,0.641102731,0.0592055,0.081625047,0.189332396,0.120403917,0.137648105,0.180323169,0.043991416,0.033472803,0.040498443,2683,2831,0.063581773,0.866007194,0.198984772,0.398753894,249,0.001222644,2315473,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,1,0.64110273,0.402956178,1,-0.136722558,0,61518,90739,134934,112577.9387,131571.55,134934,0.168715224,0.025556058,1,1,0,0,1,13.28114319,-82.28120422,0,0.719736219,0.536880672,0,1,1.025556057,173.65121
9001020900,890,1136,1584,233600,252600,382000,0.357521022,0.261274805,0.428284556,0.101362272,0.211177279,0.470073849,0.137960086,0.175742066,0.498307616,0.362649294,0.371635611,0.359486461,4366,5146,0.103769918,0.859307359,0.233100233,0.361864004,1365,0.003012433,1708254,1,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,1,1,0,FALSE,0,1,1,0.142922069,-0.118352735,0,-0.096246217,0,52331,61020,72746,95839.22497,88479,72746,-0.076797627,-0.177816212,0,0,0,0,0,175.4382324,231.2039795,0,0.67928648,0.782829404,1,1,0.822183795,1047.9409
9001021000,1001,1604,2628,236000,279400,480500,0.263207106,0.262520868,0.44737944,0.117466803,0.199408284,0.300729036,0.150738394,0.11175684,0.322790861,0.184259259,0.193836172,0.148026317,3380,3292,0.072296476,0.842200726,0.325903151,0.317434211,1764,0.001724848,1908574,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.106641703,-0.155879165,0,-0.000686238,1,55784,66386,91667,101862.4192,96259.7,91667,-0.055002809,-0.047711555,0,0,0,0,0,66.05697632,-70.76473999,0,0.694844544,0.624301672,0,0,0.952288445,392.51367
9001021100,893,1139,1584,246500,270600,425500,0.438479936,0.219931272,0.490220338,0.117443869,0.256526469,0.447122067,0.122061516,0.15361326,0.448935837,0.420244013,0.435908319,0.462030709,5516,5768,0.097434119,0.842628205,0.321315372,0.310580205,1464,0.003102812,1858959,1,0,0,0,0,1,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,1,1,0.137520527,-0.082410745,0,-0.218548665,0,54157,62793,75723,99093.36322,91049.85,75723,-0.081171058,-0.168334708,0,0,0,0,0,361.930542,101.5529175,0,0.61486727,0.744288921,1,1,0.831665291,1052.3055
9001021200,1001,1373,1920,275500,302400,492800,0.433664724,0.283510125,0.591296136,0.110359188,0.163102934,0.340301961,0.151273169,0.123722406,0.248297453,0.162716208,0.122724604,0.15421398,4022,4305,0.108246225,0.829488465,0.260894495,0.300657502,3140,0.00179903,2392956,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,1,0.59129614,0.307786015,1,-0.150154599,0,67147,76471,115197,122879.0098,110882.95,115197,-0.097624972,0.038906343,0,1,0,0,1,152.7284241,-175.9666443,0,0.524185419,0.39563632,0,1,1.038906342,415.40164
9001021300,930,1131,1823,243100,238500,405900,0.307390218,0.226833632,0.433799475,0.26585695,0.402875817,0.556861877,0.191447967,0.18952127,0.306085497,0.331756757,0.311877903,0.206068263,3825,4678,0.092347157,0.763035622,0.402128918,0.329329962,920,0.002220996,2106262,0,0,0,1,1,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,1,0,0,FALSE,0,0,1,0.43379948,0.206965849,1,-0.080556586,0,50325,57568,99948,92094.75092,83473.6,99948,-0.093611754,0.197360605,0,1,0,0,0,154.1320801,-209.5211487,0,0.380486041,0.709420562,1,1,1.197360603,484.22726
