,ag25up,hh00,hh16,hu16,mhval00,mhval00_16,mhval16,mhval90,mhval90_00,moe_hh16,moe_hinc16,moe_hu16,moe_mhval16,moe_mrent16,moe_pop16,moe_renter16,mrent00,mrent00_16,mrent16,mrent90,mrent90_00,ohu00,ohu16,ohu90,per_rent00,per_rent16,per_rent90,pop00,pop16,pop90,rhu16,GEOID,clusters
1690,1067.0,713.0,554.0,663.0,269700.0,1.7927327156066895,753200.0,236300.0,0.14134575426578522,60.0,14497.0,36.0,75315.0,302.0,216.0,54.0,836.0,0.6997607946395874,1421.0,566.0,0.47703179717063904,372.0,283.0,357.0,0.47826087474823,0.4891696870326996,0.3725834786891937,1731.0,1447.0,1462.0,271.0,36081013500,9
1691,1526.0,904.0,850.0,953.0,256000.0,0.4457031190395355,370100.0,214600.0,0.19291704893112183,61.0,14748.0,24.0,56253.0,73.0,280.0,73.0,794.0,0.7304785847663879,1374.0,600.0,0.3233333230018616,293.0,419.0,189.0,0.6758849620819092,0.5070587992668152,0.7292263507843018,2315.0,1935.0,1606.0,431.0,36081013600,9
1692,1317.0,626.0,727.0,848.0,320700.0,1.4056750535964966,771500.0,172899.9997886538,0.8548293709754944,56.0,15412.0,27.0,123568.0,98.0,208.0,67.0,794.0,1.3261964321136475,1847.0,622.9999992384692,0.27447834610939026,268.0,183.0,242.0,0.5718849897384644,0.7482805848121643,0.5701598525047302,1373.0,1842.0,1209.0,544.0,36081013700,9
1693,2468.0,1382.7652587890625,1391.0,1535.0,158300.00217413518,1.4466203451156616,387300.0,171400.00228141688,-0.07642940431833267,85.0,11854.0,57.0,48518.0,92.0,367.0,115.0,822.0000321720158,0.6338198781013489,1343.0,547.0000036992554,0.5027422904968262,347.18780517578125,479.0,374.1247863769531,0.7489176988601685,0.6556434035301208,0.7786235213279724,3597.583984375,3609.0,3707.3271484375,912.0,36081013800,2
1694,2519.0,1441.234782218933,1364.0,1538.0,236644.80155257767,1.356696605682373,557700.0,157929.6957761861,0.4984186589717865,108.0,12705.0,53.0,118054.0,107.0,560.0,116.0,840.9553298652288,0.8229268193244934,1533.0,654.6750843425787,0.28453847765922546,410.8121963739395,524.0,397.87521159648895,0.7149581909179688,0.6158357858657837,0.7238102759001777,4151.416034698486,3890.0,3477.672763824463,840.0,36081014000,9
1695,1901.0,722.0,598.0,665.0,195100.0,1.3444387912750244,457400.0,158599.9997599749,0.23013871908187866,47.0,16584.0,27.0,40822.0,176.0,356.0,60.0,818.0,0.9437652826309204,1590.0,693.999998949701,0.1786743551492691,318.0,330.0,370.0,0.559556782245636,0.4481605291366577,0.35087719559669495,2953.0,2739.0,2372.0,268.0,36081014202,2
1696,2015.0,683.0,653.0,653.0,193000.0,1.347150206565857,453000.0,154900.0,0.2459651380777359,38.0,3180.0,38.0,22752.0,274.0,261.0,61.0,812.0,0.7623152732849121,1431.0,644.0,0.260869562625885,403.0,418.0,329.0,0.40995606780052185,0.35987749695777893,0.4442567527294159,2633.0,3017.0,2257.0,235.0,36081015000,2
1697,2108.0,726.0,760.0,799.0,181600.0,1.5170705318450928,457100.0,153699.99914113432,0.1815224587917328,35.0,10262.0,23.0,21418.0,79.0,329.0,61.0,690.0,1.350724697113037,1622.0,606.9999966081232,0.13673806190490723,410.0,362.0,320.0,0.43526169657707214,0.5236842036247253,0.4473229646682739,2773.0,3067.0,2104.0,398.0,36081015200,2
1698,1779.0,692.0,616.0,655.0,202600.0,1.2339584827423096,452600.0,163799.99938979745,0.23687423765659332,43.0,14016.0,30.0,39322.0,53.0,339.0,64.0,761.0,0.7989487648010254,1369.0,581.999997831881,0.30756014585494995,275.0,321.0,240.0,0.602601170539856,0.4788961112499237,0.526627242565155,2423.0,2521.0,1911.0,295.0,36081015400,2
1699,2247.0,890.0,822.0,894.0,191400.0,1.327063798904419,445400.0,147299.99890252948,0.2993890047073364,49.0,7989.0,30.0,30747.0,81.0,356.0,71.0,795.0,0.8364779949188232,1460.0,590.9999955967069,0.34517768025398254,482.0,474.0,404.0,0.45842695236206055,0.42335766553878784,0.4495912790298462,3578.0,3365.0,2629.0,348.0,36081015600,2
